File Name,PDF Link
._OTL00665_740_ကလောင်စုံ_တေဇရုပ်စုံအထူးထုတ်.pdf,https://drive.google.com/file/d/1MSV5YeeZPnovZ6KC_9GNZgXq8X7xLncf/view?usp=drivesdk
._OTL00664_740_ကလောင်စုံ_ဖြိုးထူးတို့၏စွန့်စားခန်း.pdf,https://drive.google.com/file/d/1tdjQm298nTw5qcDA__66_yd3ADXhBzYV/view?usp=drivesdk
._OTL00654_740_ကာတွန်းဘိုဘို_တီဗွီဂိမ်းထဲမှာ.pdf,https://drive.google.com/file/d/1-yVEC0owNya8BLUOM5_pSuUPia3OSk8v/view?usp=drivesdk
._OTL00655_740_ကာတွန်းဖေသိန်း_ဒီကဒို့ဘယ်သွားကြမလဲ.pdf,https://drive.google.com/file/d/10DMPI314m3U7Qdiob7MguY9clHib3IAS/view?usp=drivesdk
._OTL00652_740_ကာတွန်းမင်းဇော်_ဘိုဘိုနှင့်ဖိုးဂျီပါဝင်သောဆင်ခြင်ပါ.pdf,https://drive.google.com/file/d/12Rjxk3meK9NQi4e6aFu85rsvpLkvNkfg/view?usp=drivesdk
._OTL00656_740_ကာတွန်းပိုးဇာ_ရွှေအိ၊ရွှေဘုတ်၊ပိုးချစ်.pdf,https://drive.google.com/file/d/19ESFmnOxXsdkTqempY6hKzM3bsxt8TPO/view?usp=drivesdk
._OTL00660_740_ကာတွန်းငွေကြည်_ထိတ်ထိတ်ကြဲဟာသ.pdf,https://drive.google.com/file/d/1D19fv7T-ykcjc96iD7zicZ1FxoNhZ-zp/view?usp=drivesdk
._OTL00653_740_ကာတွန်းမင်းဇော်_ဘိုဘိုနှင့်ဖိုးဂျီပါဝင်သောကိုယ့်လိုလူ.pdf,https://drive.google.com/file/d/1EoitCvqG7ycw6q8nde-dYKLoFbQI_4PU/view?usp=drivesdk
._OTL00659_740_ကာတွန်းဇော်ဝိုင်_စုံထောက်ရှော်ဖိုးလှော်နှုတ်ခမ်းမွှေးပျောက်ဆုံးမှုကြီး.pdf,https://drive.google.com/file/d/1G1hvzxozEsr11pGMqnldWS7nlM1WlZ7r/view?usp=drivesdk
._OTL00661_740_ကာတွန်းကိုမိုး_ယဉ်ကျေးလိမ္မာကလေးဂျာနယ်.pdf,https://drive.google.com/file/d/1e0slh0YTOVK6cvSReUXXbgN_rmWChysl/view?usp=drivesdk
._OTL00658_740_ကာတွန်းဇော်ဝိုင်_ဗျူး၏မြန်မာ့ရိုးရာစကားပုံသရုပ်ဖော်ပုံပြင်များ.pdf,https://drive.google.com/file/d/1mhStyX7ZRNZreZgco0jwlE7gGYyAA9Bj/view?usp=drivesdk
._OTL00657_740_ကာတွန်းတင်အောင်နီ_ကျုပ်ရည်းစားနဲ့ညားအောင်စောင့်ဦးကွယ်.pdf,https://drive.google.com/file/d/1rHz3-PcHMBTjj8RIn1Ly_PzMcxVQv7Av/view?usp=drivesdk
._OTL00642_740_ကာတွန်းမင်းဇော်_ဘိုဘိုနှင့်ရတနာပါဝင်သောဝီရိယ.pdf,https://drive.google.com/file/d/15cJrw5cOKOf8GNcgLUADLr3iqYNhqEvY/view?usp=drivesdk
._OTL00639_740_ကာတွန်းမင်းဇော်_ဘိုဘိုနှင့်ရတနာပါဝင်သောအိပ်စက်ခြင်း.pdf,https://drive.google.com/file/d/1Bvr1eU_cmxmUy9a_O8KjCtuDnY3GbPIC/view?usp=drivesdk
._OTL00644_740_ကာတွန်းမင်းဇော်_ဘိုဘိုနှင့်ရတနာပါဝင်သောတစ်ခုတည်း.pdf,https://drive.google.com/file/d/1HBlN1whRBBwFEnIpoS0jm6YYZA7TDBq1/view?usp=drivesdk
._OTL00640_740_ကာတွန်းမင်းဇော်_ဘိုဘိုနှင့်ရတနာပါဝင်သောအများကြီး.pdf,https://drive.google.com/file/d/1Po2Bs9p3GFxU4QY6jcJ3mOjlJZsQQEjq/view?usp=drivesdk
._OTL00649_740_ကာတွန်းမင်းဇော်_ဘိုဘိုနှင့်ဖိုးဂျီပါဝင်သောသရက်သီး.pdf,https://drive.google.com/file/d/1TL8hn8NuH84TAB_JqSxTxOdHc9Bhdhyq/view?usp=drivesdk
._OTL00647_740_ကာတွန်းမင်းဇော်_ဘိုဘိုနှင့်ဖိုးဂျီပါဝင်သောအသစ်.pdf,https://drive.google.com/file/d/1UonaP9rqZ8t6a2xtFW9NUUw-5UCktIna/view?usp=drivesdk
